Contrato,Categoria,LLM,VP,FP,FN,Latência (segundos),Soma das Diferenças,Total de Amostras
BNB.sol,DeFi,GPT-4o,4,6,5,"11,43",7,4
BNB.sol,DeFi,DeepSeek-R1,4,6,5,"175,20",8,4
BNB.sol,DeFi,Llama 3.3,3,8,6,"12,55",2,3
BNB.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,2,2,7,"16,32",0,2
BGBPToken.sol,DeFi,GPT-4o,1,5,5,"8,56",1,1
BGBPToken.sol,DeFi,DeepSeek-R1,1,4,5,"102,13",0,1
BGBPToken.sol,DeFi,Llama 3.3,2,9,4,"20,78",1,2
BGBPToken.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,0,3,6,"10,84",0,0
Token.sol,Governance,GPT-4o,1,4,4,"20,43",0,1
Token.sol,Governance,DeepSeek-R1,1,3,4,"48,61",0,1
Token.sol,Governance,Llama 3.3,1,8,4,"38,20",2,1
Token.sol,Governance,Gemini 2.0 Flash Thinking Experimental 01-21,0,4,5,"13,72",0,0
OUSD.sol,DeFi,GPT-4o,5,8,3,"10,03",2,5
OUSD.sol,DeFi,DeepSeek-R1,1,8,7,"157,25",2,1
OUSD.sol,DeFi,Llama 3.3,0,11,8,"7,89",0,0
OUSD.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,0,14,8,"17,92",0,0
Zenqira.sol,Contratos Limpos,GPT-4o,0,4,0,"10,07",0,0
Zenqira.sol,Contratos Limpos,DeepSeek-R1,0,7,0,"33,52",0,0
Zenqira.sol,Contratos Limpos,Llama 3.3,0,9,0,"8,97",0,0
Zenqira.sol,Contratos Limpos,Gemini 2.0 Flash Thinking Experimental 01-21,0,2,0,"9,94",0,0
MindAi.sol,Contratos Limpos,GPT-4o,0,5,0,"8,76",0,0
MindAi.sol,Contratos Limpos,DeepSeek-R1,0,2,0,"27,92",0,0
MindAi.sol,Contratos Limpos,Llama 3.3,0,11,0,"17,75",0,0
MindAi.sol,Contratos Limpos,Gemini 2.0 Flash Thinking Experimental 01-21,0,5,0,"9,27",0,0
AcceleratingDistributor.sol,DeFi,GPT-4o,1,10,8,"11,23",1,1
AcceleratingDistributor.sol,DeFi,DeepSeek-R1,1,7,8,"45,89",1,1
AcceleratingDistributor.sol,DeFi,Llama 3.3,0,10,9,"19,94",0,0
AcceleratingDistributor.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,2,6,7,"4,77",0,2
WstETHOracle.sol,DeFi,GPT-4o,1,6,5,"15,32",2,1
WstETHOracle.sol,DeFi,DeepSeek-R1,1,5,5,"128,94",2,1
WstETHOracle.sol,DeFi,Llama 3.3,2,10,4,"6,69",1,2
WstETHOracle.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,1,1,5,"10,06",1,1
Interfaces.sol,DeFi,GPT-4o,0,8,1,"12,22",0,0
Interfaces.sol,DeFi,DeepSeek-R1,0,15,1,"40,42",0,0
Interfaces.sol,DeFi,Llama 3.3,1,11,0,"8,41",0,1
Interfaces.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,0,6,1,"13,13",0,0
Liquidator.sol,DeFi,GPT-4o,0,1,7,"14,89",0,0
Liquidator.sol,DeFi,DeepSeek-R1,1,9,6,"61,20",1,1
Liquidator.sol,DeFi,Llama 3.3,0,12,7,"20,08",0,0
Liquidator.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,0,7,7,"17,16",0,0
LiquidatorStorage.sol,DeFi,GPT-4o,0,6,1,"11,56",0,0
LiquidatorStorage.sol,DeFi,DeepSeek-R1,1,4,0,"65,76",1,1
LiquidatorStorage.sol,DeFi,Llama 3.3,1,10,0,"10,22",1,1
LiquidatorStorage.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,0,9,1,"12,20",0,0
ShootERC20.sol,DeFi,GPT-4o,2,4,3,"9,69",2,2
ShootERC20.sol,DeFi,DeepSeek-R1,2,3,3,"71,64",0,2
ShootERC20.sol,DeFi,Llama 3.3,0,9,5,"18,24",0,0
ShootERC20.sol,DeFi,Gemini 2.0 Flash Thinking Experimental 01-21,0,3,5,"13,83",0,0
IMerkleDistributor.sol,Governance,GPT-4o,0,8,3,"10,63",0,0
IMerkleDistributor.sol,Governance,DeepSeek-R1,0,6,3,"104,55",0,0
IMerkleDistributor.sol,Governance,Llama 3.3,0,12,3,"19,27",0,0
IMerkleDistributor.sol,Governance,Gemini 2.0 Flash Thinking Experimental 01-21,0,8,3,"11,26",0,0
MerkleDistributor.sol,Governance,GPT-4o,0,10,4,"15,32",0,0
MerkleDistributor.sol,Governance,DeepSeek-R1,0,4,4,"60,62",0,0
MerkleDistributor.sol,Governance,Llama 3.3,0,11,4,"9,16",0,0
MerkleDistributor.sol,Governance,Gemini 2.0 Flash Thinking Experimental 01-21,0,6,4,"12,45",0,0
Governance.sol,Governance,GPT-4o,0,9,3,"16,53",0,0
Governance.sol,Governance,DeepSeek-R1,1,1,2,"92,93",2,1
Governance.sol,Governance,Llama 3.3,1,9,2,"13,76",1,1
